,Year,Week,Day,Date,Time,Winner/tie,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,HomeTeam,AwayTeam
2723,1980,13,Sun,November 30,1:00PM,St. Louis Cardinals,New York Giants,23,7,361,2,189,3,New York Giants,St. Louis Cardinals
2724,1980,13,Sun,November 30,1:00PM,Pittsburgh Steelers,Miami Dolphins,23,10,435,3,224,4,Pittsburgh Steelers,Miami Dolphins
2725,1980,13,Sun,November 30,2:00PM,Baltimore Colts,Buffalo Bills,28,24,201,3,284,4,Baltimore Colts,Buffalo Bills
2726,1980,13,Sun,November 30,2:00PM,Tampa Bay Buccaneers,Green Bay Packers,20,17,373,1,257,1,Green Bay Packers,Tampa Bay Buccaneers
2727,1980,13,Sun,November 30,2:00PM,Cincinnati Bengals,Kansas City Chiefs,20,6,302,2,255,3,Kansas City Chiefs,Cincinnati Bengals
2728,1980,13,Sun,November 30,2:00PM,Minnesota Vikings,New Orleans Saints,23,20,268,2,339,3,New Orleans Saints,Minnesota Vikings
2729,1980,13,Sun,November 30,4:00PM,San Diego Chargers,Philadelphia Eagles,22,21,403,2,263,1,San Diego Chargers,Philadelphia Eagles
2730,1980,13,Sun,November 30,4:00PM,Cleveland Browns,Houston Oilers,17,14,194,1,322,5,Houston Oilers,Cleveland Browns
2731,1980,13,Sun,November 30,4:00PM,Los Angeles Rams,New York Jets,38,13,510,4,224,3,Los Angeles Rams,New York Jets
2732,1980,13,Sun,November 30,4:00PM,San Francisco 49ers,New England Patriots,21,17,229,2,343,6,San Francisco 49ers,New England Patriots
2733,1980,13,Mon,December 1,9:00PM,Oakland Raiders,Denver Broncos,9,3,215,0,214,6,Oakland Raiders,Denver Broncos
2735,1980,14,Thu,December 4,8:30PM,Houston Oilers,Pittsburgh Steelers,6,0,268,1,278,5,Houston Oilers,Pittsburgh Steelers
2736,1980,14,Sun,December 7,1:00PM,Cincinnati Bengals,Baltimore Colts,34,33,509,2,313,2,Cincinnati Bengals,Baltimore Colts
2737,1980,14,Sun,December 7,1:00PM,Minnesota Vikings,Tampa Bay Buccaneers,21,10,365,0,348,2,Tampa Bay Buccaneers,Minnesota Vikings
2738,1980,14,Sun,December 7,1:00PM,Buffalo Bills,Los Angeles Rams,10,7,272,2,215,3,Buffalo Bills,Los Angeles Rams
2739,1980,14,Sun,December 7,1:00PM,Washington Redskins,San Diego Chargers,40,17,390,3,286,7,Washington Redskins,San Diego Chargers
2740,1980,14,Sun,December 7,1:00PM,Cleveland Browns,New York Jets,17,14,398,1,298,2,Cleveland Browns,New York Jets
2741,1980,14,Sun,December 7,1:00PM,Atlanta Falcons,Philadelphia Eagles,20,17,375,3,276,2,Philadelphia Eagles,Atlanta Falcons
2742,1980,14,Sun,December 7,2:00PM,Chicago Bears,Green Bay Packers,61,7,594,0,266,3,Chicago Bears,Green Bay Packers
2743,1980,14,Sun,December 7,2:00PM,St. Louis Cardinals,Detroit Lions,24,23,225,1,304,1,St. Louis Cardinals,Detroit Lions
2744,1980,14,Sun,December 7,4:00PM,San Francisco 49ers,New Orleans Saints,38,35,430,0,519,3,San Francisco 49ers,New Orleans Saints
2745,1980,14,Sun,December 7,4:00PM,Kansas City Chiefs,Denver Broncos,31,14,331,2,348,5,Kansas City Chiefs,Denver Broncos
2746,1980,14,Sun,December 7,4:00PM,New York Giants,Seattle Seahawks,27,21,311,2,337,2,Seattle Seahawks,New York Giants
2747,1980,14,Sun,December 7,4:00PM,Dallas Cowboys,Oakland Raiders,19,13,260,1,248,4,Oakland Raiders,Dallas Cowboys
2748,1980,14,Mon,December 8,9:00PM,Miami Dolphins,New England Patriots,16,13,291,0,275,0,Miami Dolphins,New England Patriots
2750,1980,15,Sat,December 13,12:30PM,Washington Redskins,New York Giants,16,13,232,3,253,4,Washington Redskins,New York Giants
2751,1980,15,Sat,December 13,4:00PM,San Diego Chargers,Seattle Seahawks,21,14,420,4,231,1,San Diego Chargers,Seattle Seahawks
2752,1980,15,Sun,December 14,1:00PM,Atlanta Falcons,San Francisco 49ers,35,10,463,1,310,3,Atlanta Falcons,San Francisco 49ers
2753,1980,15,Sun,December 14,1:00PM,Philadelphia Eagles,St. Louis Cardinals,17,3,344,1,126,2,Philadelphia Eagles,St. Louis Cardinals
2754,1980,15,Sun,December 14,1:00PM,Houston Oilers,Green Bay Packers,22,3,371,2,337,5,Green Bay Packers,Houston Oilers
2755,1980,15,Sun,December 14,1:00PM,Pittsburgh Steelers,Kansas City Chiefs,21,16,285,3,198,1,Pittsburgh Steelers,Kansas City Chiefs
2756,1980,15,Sun,December 14,1:00PM,New England Patriots,Buffalo Bills,24,2,324,2,161,3,New England Patriots,Buffalo Bills
2757,1980,15,Sun,December 14,1:00PM,New Orleans Saints,New York Jets,21,20,312,0,291,3,New York Jets,New Orleans Saints
2758,1980,15,Sun,December 14,1:00PM,Minnesota Vikings,Cleveland Browns,28,23,530,0,366,1,Minnesota Vikings,Cleveland Browns
2759,1980,15,Sun,December 14,2:00PM,Cincinnati Bengals,Chicago Bears,17,14,294,1,216,5,Chicago Bears,Cincinnati Bengals
2760,1980,15,Sun,December 14,4:00PM,Miami Dolphins,Baltimore Colts,24,14,318,2,276,2,Baltimore Colts,Miami Dolphins
2761,1980,15,Sun,December 14,4:00PM,Detroit Lions,Tampa Bay Buccaneers,27,14,408,2,213,3,Detroit Lions,Tampa Bay Buccaneers
2762,1980,15,Sun,December 14,4:00PM,Oakland Raiders,Denver Broncos,24,21,276,1,507,4,Denver Broncos,Oakland Raiders
2763,1980,15,Mon,December 15,9:00PM,Los Angeles Rams,Dallas Cowboys,38,14,517,0,271,3,Los Angeles Rams,Dallas Cowboys
2765,1980,16,Sat,December 20,12:30PM,New York Jets,Miami Dolphins,24,17,272,5,347,2,Miami Dolphins,New York Jets
2766,1980,16,Sat,December 20,4:00PM,Chicago Bears,Tampa Bay Buccaneers,14,13,322,2,451,5,Tampa Bay Buccaneers,Chicago Bears
2767,1980,16,Sun,December 21,1:00PM,Cleveland Browns,Cincinnati Bengals,27,24,313,3,373,4,Cincinnati Bengals,Cleveland Browns
2768,1980,16,Sun,December 21,1:00PM,Houston Oilers,Minnesota Vikings,20,16,435,2,362,4,Houston Oilers,Minnesota Vikings
2769,1980,16,Sun,December 21,1:00PM,Oakland Raiders,New York Giants,33,17,311,1,291,5,New York Giants,Oakland Raiders
2770,1980,16,Sun,December 21,1:00PM,Washington Redskins,St. Louis Cardinals,31,7,391,2,174,4,St. Louis Cardinals,Washington Redskins
2771,1980,16,Sun,December 21,1:00PM,Detroit Lions,Green Bay Packers,24,3,357,2,190,2,Detroit Lions,Green Bay Packers
2772,1980,16,Sun,December 21,1:00PM,New England Patriots,New Orleans Saints,38,27,473,1,448,0,New Orleans Saints,New England Patriots
2773,1980,16,Sun,December 21,2:00PM,Kansas City Chiefs,Baltimore Colts,38,28,372,2,335,2,Baltimore Colts,Kansas City Chiefs
2774,1980,16,Sun,December 21,4:00PM,Los Angeles Rams,Atlanta Falcons,20,17,447,2,349,3,Los Angeles Rams,Atlanta Falcons
2775,1980,16,Sun,December 21,4:00PM,Dallas Cowboys,Philadelphia Eagles,35,27,340,2,407,0,Dallas Cowboys,Philadelphia Eagles
2776,1980,16,Sun,December 21,4:00PM,Buffalo Bills,San Francisco 49ers,18,13,267,2,298,1,San Francisco 49ers,Buffalo Bills
2777,1980,16,Sun,December 21,4:00PM,Denver Broncos,Seattle Seahawks,25,17,236,0,299,2,Seattle Seahawks,Denver Broncos
2778,1980,16,Mon,December 22,9:00PM,San Diego Chargers,Pittsburgh Steelers,26,17,488,0,302,0,San Diego Chargers,Pittsburgh Steelers
2780,1980,WildCard,Sun,December 28,1:30PM,Dallas Cowboys,Los Angeles Rams,34,13,528,3,260,3,Dallas Cowboys,Los Angeles Rams
2781,1980,WildCard,Sun,December 28,5:00PM,Oakland Raiders,Houston Oilers,27,7,250,1,275,3,Oakland Raiders,Houston Oilers
2782,1980,Division,Sat,January 3,12:30PM,Philadelphia Eagles,Minnesota Vikings,31,16,305,3,215,8,Philadelphia Eagles,Minnesota Vikings
2783,1980,Division,Sat,January 3,4:00PM,San Diego Chargers,Buffalo Bills,20,14,397,3,244,3,San Diego Chargers,Buffalo Bills
2784,1980,Division,Sun,January 4,12:30PM,Oakland Raiders,Cleveland Browns,14,12,208,3,254,4,Cleveland Browns,Oakland Raiders
2785,1980,Division,Sun,January 4,4:00PM,Dallas Cowboys,Atlanta Falcons,30,27,422,2,371,2,Atlanta Falcons,Dallas Cowboys
2786,1980,ConfChamp,Sun,January 11,1:00PM,Philadelphia Eagles,Dallas Cowboys,20,7,340,2,206,4,Philadelphia Eagles,Dallas Cowboys
2787,1980,ConfChamp,Sun,January 11,5:00PM,Oakland Raiders,San Diego Chargers,34,27,362,0,434,3,San Diego Chargers,Oakland Raiders
2788,1980,SuperBowl,Sun,January 25,6:00PM,Oakland Raiders,Philadelphia Eagles,27,10,377,0,360,4,Oakland Raiders,Philadelphia Eagles
2789,1981,1,Sat,September 5,8:00PM,Tampa Bay Buccaneers,Minnesota Vikings,21,13,219,0,443,4,Tampa Bay Buccaneers,Minnesota Vikings
2790,1981,1,Sun,September 6,1:00PM,Baltimore Colts,New England Patriots,29,28,346,1,388,3,New England Patriots,Baltimore Colts
2791,1981,1,Sun,September 6,1:00PM,Dallas Cowboys,Washington Redskins,26,10,346,1,324,6,Washington Redskins,Dallas Cowboys
2792,1981,1,Sun,September 6,1:00PM,Atlanta Falcons,New Orleans Saints,27,0,299,4,249,4,Atlanta Falcons,New Orleans Saints
2793,1981,1,Sun,September 6,1:00PM,Cincinnati Bengals,Seattle Seahawks,27,21,375,4,290,4,Cincinnati Bengals,Seattle Seahawks
2794,1981,1,Sun,September 6,1:00PM,Kansas City Chiefs,Pittsburgh Steelers,37,33,353,2,408,7,Pittsburgh Steelers,Kansas City Chiefs
2795,1981,1,Sun,September 6,1:00PM,Miami Dolphins,St. Louis Cardinals,20,7,292,3,203,2,St. Louis Cardinals,Miami Dolphins
2796,1981,1,Sun,September 6,1:00PM,Philadelphia Eagles,New York Giants,24,10,325,2,230,1,New York Giants,Philadelphia Eagles
2797,1981,1,Sun,September 6,1:00PM,Detroit Lions,San Francisco 49ers,24,17,295,2,297,3,Detroit Lions,San Francisco 49ers
2798,1981,1,Sun,September 6,2:00PM,Green Bay Packers,Chicago Bears,16,9,346,3,306,4,Chicago Bears,Green Bay Packers
2799,1981,1,Sun,September 6,4:00PM,Buffalo Bills,New York Jets,31,0,418,1,231,2,Buffalo Bills,New York Jets
2800,1981,1,Sun,September 6,4:00PM,Houston Oilers,Los Angeles Rams,27,20,309,3,385,4,Los Angeles Rams,Houston Oilers
2801,1981,1,Sun,September 6,4:00PM,Denver Broncos,Oakland Raiders,9,7,358,1,165,3,Denver Broncos,Oakland Raiders
2802,1981,1,Mon,September 7,9:00PM,San Diego Chargers,Cleveland Browns,44,14,535,0,419,2,Cleveland Browns,San Diego Chargers
2804,1981,2,Thu,September 10,8:30PM,Miami Dolphins,Pittsburgh Steelers,30,10,346,1,300,2,Miami Dolphins,Pittsburgh Steelers
2805,1981,2,Sun,September 13,1:00PM,New Orleans Saints,Los Angeles Rams,23,17,304,3,255,4,New Orleans Saints,Los Angeles Rams
2806,1981,2,Sun,September 13,1:00PM,Atlanta Falcons,Green Bay Packers,31,17,335,4,396,5,Green Bay Packers,Atlanta Falcons
2807,1981,2,Sun,September 13,1:00PM,Kansas City Chiefs,Tampa Bay Buccaneers,19,10,256,0,298,0,Kansas City Chiefs,Tampa Bay Buccaneers
2808,1981,2,Sun,September 13,1:00PM,New York Giants,Washington Redskins,17,7,157,2,349,4,Washington Redskins,New York Giants
2809,1981,2,Sun,September 13,1:00PM,Houston Oilers,Cleveland Browns,9,3,209,4,302,2,Cleveland Browns,Houston Oilers
2810,1981,2,Sun,September 13,2:00PM,Buffalo Bills,Baltimore Colts,35,3,430,3,147,3,Baltimore Colts,Buffalo Bills
2811,1981,2,Sun,September 13,4:00PM,Seattle Seahawks,Denver Broncos,13,10,267,2,252,2,Seattle Seahawks,Denver Broncos
2812,1981,2,Sun,September 13,4:00PM,San Diego Chargers,Detroit Lions,28,23,367,2,385,2,San Diego Chargers,Detroit Lions
2813,1981,2,Sun,September 13,4:00PM,Cincinnati Bengals,New York Jets,31,30,310,1,388,1,New York Jets,Cincinnati Bengals
2814,1981,2,Sun,September 13,4:00PM,Dallas Cowboys,St. Louis Cardinals,30,17,391,2,404,2,Dallas Cowboys,St. Louis Cardinals
2815,1981,2,Sun,September 13,4:00PM,Philadelphia Eagles,New England Patriots,13,3,362,2,283,5,Philadelphia Eagles,New England Patriots
2816,1981,2,Sun,September 13,4:00PM,San Francisco 49ers,Chicago Bears,28,17,412,2,339,3,San Francisco 49ers,Chicago Bears
2817,1981,2,Mon,September 14,9:00PM,Oakland Raiders,Minnesota Vikings,36,10,310,1,269,3,Minnesota Vikings,Oakland Raiders
2819,1981,3,Thu,September 17,8:30PM,Philadelphia Eagles,Buffalo Bills,20,14,396,3,277,3,Buffalo Bills,Philadelphia Eagles
2820,1981,3,Sun,September 20,1:00PM,St. Louis Cardinals,Washington Redskins,40,30,315,0,521,2,St. Louis Cardinals,Washington Redskins
2821,1981,3,Sun,September 20,1:00PM,Minnesota Vikings,Detroit Lions,26,24,406,3,404,2,Minnesota Vikings,Detroit Lions
2822,1981,3,Sun,September 20,1:00PM,Pittsburgh Steelers,New York Jets,38,10,566,1,258,2,Pittsburgh Steelers,New York Jets
2823,1981,3,Sun,September 20,1:00PM,Atlanta Falcons,San Francisco 49ers,34,17,363,0,386,3,Atlanta Falcons,San Francisco 49ers
2824,1981,3,Sun,September 20,1:00PM,Cleveland Browns,Cincinnati Bengals,20,17,422,0,281,0,Cincinnati Bengals,Cleveland Browns
2825,1981,3,Sun,September 20,1:00PM,Miami Dolphins,Houston Oilers,16,10,257,1,202,1,Houston Oilers,Miami Dolphins
2826,1981,3,Sun,September 20,2:00PM,Chicago Bears,Tampa Bay Buccaneers,28,17,247,1,450,3,Chicago Bears,Tampa Bay Buccaneers
2827,1981,3,Sun,September 20,2:00PM,San Diego Chargers,Kansas City Chiefs,42,31,398,3,426,8,Kansas City Chiefs,San Diego Chargers
2828,1981,3,Sun,September 20,4:00PM,Los Angeles Rams,Green Bay Packers,35,23,203,3,200,4,Los Angeles Rams,Green Bay Packers
2829,1981,3,Sun,September 20,4:00PM,Oakland Raiders,Seattle Seahawks,20,10,432,3,390,2,Oakland Raiders,Seattle Seahawks
2830,1981,3,Sun,September 20,4:00PM,Denver Broncos,Baltimore Colts,28,10,442,4,209,3,Denver Broncos,Baltimore Colts
2831,1981,3,Sun,September 20,4:00PM,New York Giants,New Orleans Saints,20,7,421,2,299,3,New York Giants,New Orleans Saints
2832,1981,3,Mon,September 21,9:00PM,Dallas Cowboys,New England Patriots,35,21,455,1,333,7,New England Patriots,Dallas Cowboys
2834,1981,4,Sun,September 27,1:00PM,Pittsburgh Steelers,New England Patriots,27,21,498,0,438,1,Pittsburgh Steelers,New England Patriots
2835,1981,4,Sun,September 27,1:00PM,Philadelphia Eagles,Washington Redskins,36,13,221,1,337,3,Philadelphia Eagles,Washington Redskins
2836,1981,4,Sun,September 27,1:00PM,Cincinnati Bengals,Buffalo Bills,27,24,429,2,389,1,Cincinnati Bengals,Buffalo Bills
2837,1981,4,Sun,September 27,1:00PM,Detroit Lions,Oakland Raiders,16,0,260,3,131,2,Detroit Lions,Oakland Raiders
2838,1981,4,Sun,September 27,1:00PM,New York Jets,Houston Oilers,33,17,478,2,221,6,New York Jets,Houston Oilers
2839,1981,4,Sun,September 27,1:00PM,Cleveland Browns,Atlanta Falcons,28,17,385,5,262,4,Cleveland Browns,Atlanta Falcons
2840,1981,4,Sun,September 27,2:00PM,Minnesota Vikings,Green Bay Packers,30,13,410,3,316,2,Green Bay Packers,Minnesota Vikings
2841,1981,4,Sun,September 27,2:00PM,Miami Dolphins,Baltimore Colts,31,28,428,0,514,1,Baltimore Colts,Miami Dolphins
2842,1981,4,Sun,September 27,4:00PM,Kansas City Chiefs,Seattle Seahawks,20,14,381,2,359,1,Seattle Seahawks,Kansas City Chiefs
2843,1981,4,Sun,September 27,4:00PM,Tampa Bay Buccaneers,St. Louis Cardinals,20,10,321,1,255,2,Tampa Bay Buccaneers,St. Louis Cardinals
2844,1981,4,Sun,September 27,4:00PM,Denver Broncos,San Diego Chargers,42,24,453,3,349,5,Denver Broncos,San Diego Chargers
2845,1981,4,Sun,September 27,4:00PM,Dallas Cowboys,New York Giants,18,10,317,0,343,3,Dallas Cowboys,New York Giants
2846,1981,4,Sun,September 27,4:00PM,San Francisco 49ers,New Orleans Saints,21,14,314,2,413,4,San Francisco 49ers,New Orleans Saints
2847,1981,4,Mon,September 28,9:00PM,Los Angeles Rams,Chicago Bears,24,7,329,2,223,3,Chicago Bears,Los Angeles Rams
2849,1981,5,Sun,October 4,1:00PM,San Francisco 49ers,Washington Redskins,30,17,296,2,304,6,Washington Redskins,San Francisco 49ers
2850,1981,5,Sun,October 4,1:00PM,New England Patriots,Kansas City Chiefs,33,17,451,2,327,4,New England Patriots,Kansas City Chiefs
2851,1981,5,Sun,October 4,1:00PM,St. Louis Cardinals,Dallas Cowboys,20,17,299,3,306,2,St. Louis Cardinals,Dallas Cowboys
2852,1981,5,Sun,October 4,1:00PM,Buffalo Bills,Baltimore Colts,23,17,366,1,378,2,Buffalo Bills,Baltimore Colts
2853,1981,5,Sun,October 4,1:00PM,Green Bay Packers,New York Giants,27,14,363,1,262,2,New York Giants,Green Bay Packers
2854,1981,5,Sun,October 4,1:00PM,Minnesota Vikings,Chicago Bears,24,21,345,1,396,2,Minnesota Vikings,Chicago Bears
2855,1981,5,Sun,October 4,2:00PM,Pittsburgh Steelers,New Orleans Saints,20,6,406,3,180,5,New Orleans Saints,Pittsburgh Steelers
2856,1981,5,Sun,October 4,2:00PM,Houston Oilers,Cincinnati Bengals,17,10,187,1,357,1,Houston Oilers,Cincinnati Bengals
2857,1981,5,Sun,October 4,4:00PM,New York Jets,Miami Dolphins,28,28,546,3,399,0,Miami Dolphins,New York Jets
2858,1981,5,Sun,October 4,4:00PM,Los Angeles Rams,Cleveland Browns,27,16,410,1,318,1,Los Angeles Rams,Cleveland Browns
2859,1981,5,Sun,October 4,4:00PM,San Diego Chargers,Seattle Seahawks,24,10,371,2,292,1,San Diego Chargers,Seattle Seahawks
2860,1981,5,Sun,October 4,4:00PM,Denver Broncos,Oakland Raiders,17,0,252,0,168,6,Oakland Raiders,Denver Broncos
2861,1981,5,Sun,October 4,4:00PM,Tampa Bay Buccaneers,Detroit Lions,28,10,211,1,332,6,Tampa Bay Buccaneers,Detroit Lions
2862,1981,5,Mon,October 5,9:00PM,Philadelphia Eagles,Atlanta Falcons,16,13,268,1,339,3,Philadelphia Eagles,Atlanta Falcons
2864,1981,6,Sun,October 11,1:00PM,New York Jets,New England Patriots,28,24,297,3,454,4,New York Jets,New England Patriots
2865,1981,6,Sun,October 11,1:00PM,Philadelphia Eagles,New Orleans Saints,31,14,369,2,240,4,New Orleans Saints,Philadelphia Eagles
2866,1981,6,Sun,October 11,1:00PM,Los Angeles Rams,Atlanta Falcons,37,35,252,2,349,3,Atlanta Falcons,Los Angeles Rams
2867,1981,6,Sun,October 11,1:00PM,Pittsburgh Steelers,Cleveland Browns,13,7,365,1,445,3,Pittsburgh Steelers,Cleveland Browns
2868,1981,6,Sun,October 11,2:00PM,Tampa Bay Buccaneers,Green Bay Packers,21,10,371,2,298,4,Green Bay Packers,Tampa Bay Buccaneers
2869,1981,6,Sun,October 11,2:00PM,Washington Redskins,Chicago Bears,24,7,301,1,204,4,Chicago Bears,Washington Redskins
2870,1981,6,Sun,October 11,2:00PM,Cincinnati Bengals,Baltimore Colts,41,19,378,0,350,4,Baltimore Colts,Cincinnati Bengals
2871,1981,6,Sun,October 11,2:00PM,Kansas City Chiefs,Oakland Raiders,27,0,454,2,230,3,Kansas City Chiefs,Oakland Raiders
2872,1981,6,Sun,October 11,2:00PM,Houston Oilers,Seattle Seahawks,35,17,372,1,289,3,Houston Oilers,Seattle Seahawks
2873,1981,6,Sun,October 11,4:00PM,Minnesota Vikings,San Diego Chargers,33,31,526,3,425,1,San Diego Chargers,Minnesota Vikings
2874,1981,6,Sun,October 11,4:00PM,New York Giants,St. Louis Cardinals,34,14,377,1,285,4,New York Giants,St. Louis Cardinals
2875,1981,6,Sun,October 11,4:00PM,Denver Broncos,Detroit Lions,27,21,401,3,325,1,Denver Broncos,Detroit Lions
2876,1981,6,Sun,October 11,4:00PM,San Francisco 49ers,Dallas Cowboys,45,14,440,1,192,4,San Francisco 49ers,Dallas Cowboys
2877,1981,6,Mon,October 12,9:00PM,Buffalo Bills,Miami Dolphins,31,21,454,1,324,4,Buffalo Bills,Miami Dolphins
2879,1981,7,Sun,October 18,1:00PM,New York Jets,Buffalo Bills,33,14,374,1,288,3,New York Jets,Buffalo Bills
2880,1981,7,Sun,October 18,1:00PM,Minnesota Vikings,Philadelphia Eagles,35,23,334,0,403,4,Minnesota Vikings,Philadelphia Eagles
2881,1981,7,Sun,October 18,1:00PM,San Francisco 49ers,Green Bay Packers,13,3,337,1,241,1,Green Bay Packers,San Francisco 49ers
2882,1981,7,Sun,October 18,1:00PM,Miami Dolphins,Washington Redskins,13,10,445,2,301,2,Miami Dolphins,Washington Redskins
2883,1981,7,Sun,October 18,1:00PM,New England Patriots,Houston Oilers,38,10,436,4,309,4,New England Patriots,Houston Oilers
2884,1981,7,Sun,October 18,1:00PM,Cincinnati Bengals,Pittsburgh Steelers,34,7,494,0,205,1,Cincinnati Bengals,Pittsburgh Steelers
2885,1981,7,Sun,October 18,1:00PM,Atlanta Falcons,St. Louis Cardinals,41,20,394,2,383,4,Atlanta Falcons,St. Louis Cardinals
2886,1981,7,Sun,October 18,1:00PM,Cleveland Browns,New Orleans Saints,20,17,355,1,334,1,Cleveland Browns,New Orleans Saints
2887,1981,7,Sun,October 18,2:00PM,San Diego Chargers,Baltimore Colts,43,14,470,1,264,3,Baltimore Colts,San Diego Chargers
2888,1981,7,Sun,October 18,4:00PM,Kansas City Chiefs,Denver Broncos,28,14,324,5,396,5,Kansas City Chiefs,Denver Broncos
2889,1981,7,Sun,October 18,4:00PM,New York Giants,Seattle Seahawks,32,0,301,1,127,4,Seattle Seahawks,New York Giants
2890,1981,7,Sun,October 18,4:00PM,Oakland Raiders,Tampa Bay Buccaneers,18,16,370,3,356,3,Oakland Raiders,Tampa Bay Buccaneers
2891,1981,7,Sun,October 18,9:00PM,Dallas Cowboys,Los Angeles Rams,29,17,496,3,374,3,Dallas Cowboys,Los Angeles Rams
2892,1981,7,Mon,October 19,9:00PM,Detroit Lions,Chicago Bears,48,17,485,1,449,4,Detroit Lions,Chicago Bears
2894,1981,8,Sun,October 25,1:00PM,New York Giants,Atlanta Falcons,27,24,289,0,430,2,Atlanta Falcons,New York Giants
2895,1981,8,Sun,October 25,1:00PM,Cleveland Browns,Baltimore Colts,42,28,562,6,357,3,Cleveland Browns,Baltimore Colts
2896,1981,8,Sun,October 25,1:00PM,St. Louis Cardinals,Minnesota Vikings,30,17,320,2,387,3,St. Louis Cardinals,Minnesota Vikings
2897,1981,8,Sun,October 25,1:00PM,Detroit Lions,Green Bay Packers,31,27,409,2,382,3,Detroit Lions,Green Bay Packers
2898,1981,8,Sun,October 25,1:00PM,Buffalo Bills,Denver Broncos,9,7,323,2,161,0,Buffalo Bills,Denver Broncos
2899,1981,8,Sun,October 25,1:00PM,Philadelphia Eagles,Tampa Bay Buccaneers,20,10,298,3,347,4,Philadelphia Eagles,Tampa Bay Buccaneers
2900,1981,8,Sun,October 25,1:00PM,Washington Redskins,New England Patriots,24,22,230,2,409,3,Washington Redskins,New England Patriots
2901,1981,8,Sun,October 25,2:00PM,New Orleans Saints,Cincinnati Bengals,17,7,336,1,205,2,New Orleans Saints,Cincinnati Bengals
2902,1981,8,Sun,October 25,4:00PM,Kansas City Chiefs,Oakland Raiders,28,17,330,4,342,6,Oakland Raiders,Kansas City Chiefs
